q,q_inferred,K,lower_mode,full_data_estimate,true_value,full_data_abs_error,num_saved,file,case
1,1,2,exact,0.5222301672670985,0.5059374999999997,0.01629266726709877,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
1,1,3,exact,0.3986060974738014,0.35699218749999984,0.041613909973801544,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
1,1,4,exact,0.338394481254715,0.2532234527587889,0.08517102849592612,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
1,1,2,hierarchical,0.5222301672670985,0.5059374999999997,0.01629266726709877,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
1,1,3,hierarchical,0.3794261220834193,0.35699218749999984,0.022433934583419468,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
1,1,4,hierarchical,0.29532675518158585,0.2532234527587889,0.04210330242279697,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM1_vary_NU
2,2,2,exact,0.5184077203764167,0.5059374999999997,0.012470220376416985,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
2,2,3,exact,0.38590356665553005,0.35699218749999984,0.028911379155530215,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
2,2,4,exact,0.29971966460974403,0.2532234527587889,0.04649621185095515,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
2,2,2,hierarchical,0.5184077203764167,0.5059374999999997,0.012470220376416985,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
2,2,3,hierarchical,0.3779736932798994,0.35699218749999984,0.020981505779899545,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
2,2,4,hierarchical,0.2765785836159049,0.2532234527587889,0.023355130857116047,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM1_vary_NU
3,3,2,exact,0.5178664129888125,0.5059374999999997,0.011928912988812823,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
3,3,3,exact,0.3827142929746482,0.35699218749999984,0.02572210547464837,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
3,3,4,exact,0.2976948975019484,0.2532234527587889,0.044471444743159505,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
3,3,2,hierarchical,0.5178664129888125,0.5059374999999997,0.011928912988812823,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
3,3,3,hierarchical,0.37935949256960105,0.35699218749999984,0.022367305069601218,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
3,3,4,hierarchical,0.2867839520087308,0.2532234527587889,0.03356049924994192,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM1_vary_NU
4,4,2,exact,0.5141986873855627,0.5059374999999997,0.008261187385563029,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
4,4,3,exact,0.3758367338744373,0.35699218749999984,0.018844546374437443,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
4,4,4,exact,0.28076655575599746,0.2532234527587889,0.02754310299720858,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
4,4,2,hierarchical,0.5141986873855627,0.5059374999999997,0.008261187385563029,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
4,4,3,hierarchical,0.37505921035579604,0.35699218749999984,0.0180670228557962,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
4,4,4,hierarchical,0.27795397584449444,0.2532234527587889,0.024730523085705558,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM1_vary_NU
5,5,2,exact,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
5,5,3,exact,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
5,5,4,exact,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
5,5,2,hierarchical,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
5,5,3,hierarchical,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
5,5,4,hierarchical,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM1_vary_NU
1,1,2,exact,0.5222301672670985,0.5059374999999997,0.01629266726709877,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
1,1,3,exact,0.3986060974738014,0.35699218749999984,0.041613909973801544,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
1,1,4,exact,0.338394481254715,0.2532234527587889,0.08517102849592612,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
1,1,2,hierarchical,0.5222301672670985,0.5059374999999997,0.01629266726709877,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
1,1,3,hierarchical,0.3794261220834193,0.35699218749999984,0.022433934583419468,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
1,1,4,hierarchical,0.29532675518158585,0.2532234527587889,0.04210330242279697,8367000,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,NM100_vary_NU
2,2,2,exact,0.5184077203764167,0.5059374999999997,0.012470220376416985,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
2,2,3,exact,0.38590356665553005,0.35699218749999984,0.028911379155530215,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
2,2,4,exact,0.29971966460974403,0.2532234527587889,0.04649621185095515,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
2,2,2,hierarchical,0.5184077203764167,0.5059374999999997,0.012470220376416985,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
2,2,3,hierarchical,0.3779736932798994,0.35699218749999984,0.020981505779899545,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
2,2,4,hierarchical,0.2765785836159049,0.2532234527587889,0.023355130857116047,7626000,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,NM100_vary_NU
3,3,2,exact,0.5178664129888125,0.5059374999999997,0.011928912988812823,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
3,3,3,exact,0.3827142929746482,0.35699218749999984,0.02572210547464837,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
3,3,4,exact,0.2976948975019484,0.2532234527587889,0.044471444743159505,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
3,3,2,hierarchical,0.5178664129888125,0.5059374999999997,0.011928912988812823,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
3,3,3,hierarchical,0.37935949256960105,0.35699218749999984,0.022367305069601218,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
3,3,4,hierarchical,0.2867839520087308,0.2532234527587889,0.03356049924994192,6199000,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,NM100_vary_NU
4,4,2,exact,0.5141986873855627,0.5059374999999997,0.008261187385563029,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,3,exact,0.3758367338744373,0.35699218749999984,0.018844546374437443,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,4,exact,0.28076655575599746,0.2532234527587889,0.02754310299720858,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,2,hierarchical,0.5141986873855627,0.5059374999999997,0.008261187385563029,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,3,hierarchical,0.37505921035579604,0.35699218749999984,0.0180670228557962,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,4,hierarchical,0.27795397584449444,0.2532234527587889,0.024730523085705558,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
5,5,2,exact,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,3,exact,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,4,exact,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,2,hierarchical,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,3,hierarchical,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,4,hierarchical,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
